school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score,safety_dev,misconduct_dev,attendance_dev,instr_dev
Abraham Lincoln Elementary School,ES,41.92449696,-87.64452163,96.0,99.0,2.0,High-Low,26.406791722489537,98.01598236428767,66.0,47.46606334841629,-17.28190045248869,1.4040723981900385,14.475113122171948
Adam Clayton Powell Paideia Community Academy Elementary School,ES,41.76032435,-87.55673627,95.6,54.0,15.7,High-High,27.165204641051893,81.262055662717,84.0,2.4660633484162915,-3.5819004524886893,1.0040723981900328,32.47511312217195
Adlai E Stevenson Elementary School,ES,41.74711093,-87.73170248,95.7,61.0,2.3,,,,,,,,
Agustin Lara Elementary Academy,ES,41.8097569,-87.6721446,95.5,56.0,10.4,Mid-High,9.854461105944264,86.30476715348581,37.0,4.4660633484162915,-8.881900452488688,0.9040723981900385,-14.524886877828052
Air Force Academy High School,HS,41.82814609,-87.63279369,93.3,49.0,15.6,,,,,,,,
Albany Park Multicultural Academy,MS,41.9711433,-87.70962725,97.0,66.0,2.3,High-Low,12.244145962244762,94.80113897308715,71.0,16.0,-3.7142857142857144,1.914285714285711,25.857142857142854
Albert G Lane Technical High School,HS,41.94661693,-87.69105603,96.3,88.0,2.1,,,,,,,,
Albert R Sabin Elementary Magnet School,ES,41.90684338,-87.68304259,94.7,67.0,28.1,,,,,,,,
Alcott High School for the Humanities,HS,41.93576106,-87.68052441,92.7,70.0,7.1,,,,,,,,
Alessandro Volta Elementary School,ES,41.97160605,-87.72464139,96.4,43.0,22.5,Mid-Mid,19.685230155260392,74.07917700009185,37.0,-8.533936651583709,3.2180995475113114,1.8040723981900442,-14.524886877828052
Alexander Graham Bell Elementary School,ES,41.94952795,-87.68605496,96.3,99.0,6.3,High-Low,27.43008962518672,94.09387342702306,46.0,47.46606334841629,-12.981900452488688,1.7040723981900356,-5.524886877828052
Alexander Graham Elementary School,ES,41.81329195,-87.64338051,92.5,49.0,27.4,Low-Mid,27.306533920220193,69.77128685588316,33.0,-2.5339366515837085,8.11809954751131,-2.0959276018099615,-18.524886877828052
Alexander Hamilton Elementary School,ES,41.94524725,-87.67085683,95.3,73.0,12.5,High-Mid,8.111279536939866,85.91898594654175,59.0,21.46606334841629,-6.781900452488689,0.7040723981900356,7.475113122171948
Alexander von Humboldt Elementary School,ES,41.90672216,-87.69300325,92.5,31.0,185.5,,,,,,,,
Alex Haley Elementary Academy,ES,41.68663682,-87.63359476,94.9,28.0,2.9,,,,,,,,
Alfred David Kohn Elementary School,ES,41.70485072,-87.62360199,90.1,19.0,31.2,Low-Low,69.2755569508889,63.30485900615413,13.0,-32.53393665158371,11.91809954751131,-4.495927601809967,-38.52488687782805
Alfred Nobel Elementary School,ES,41.90612797,-87.72993324,94.6,37.0,24.8,Low-Mid,20.35886471767475,71.2501148158354,35.0,-14.533936651583709,5.518099547511312,0.0040723981900328,-16.524886877828052
Alice L Barnard Computer Math & Science Center Elementary School,ES,41.70514024,-87.65811642,95.6,46.0,28.5,,,,,,,,
Al Raby High School,HS,41.886183,-87.71539705,80.3,52.0,14.0,,,,,,,,
Ambrose Plamondon Elementary School,ES,41.86028668,-87.69250468,96.9,45.0,0.6,,,,,,,,
Amelia Earhart Options for Knowledge Elementary School,ES,41.72613498,-87.58217727,96.3,81.0,33.4,High-Low,49.40224108929818,67.54845228253882,73.0,29.46606334841629,14.11809954751131,1.7040723981900356,21.475113122171948
Ames Middle School,MS,41.91605519,-87.72177945,94.3,38.0,5.3,Low-Low,16.48986129324889,89.22568200606229,35.0,-12.0,-0.7142857142857144,-0.7857142857142918,-10.142857142857146
Amos Alonzo Stagg Elementary School,ES,41.75892669,-87.6492534,91.4,23.0,34.3,Low-Mid,32.55065393286246,60.944245430329744,42.0,-28.53393665158371,15.018099547511309,-3.195927601809956,-9.524886877828052
Ana Roque de Duprey Elementary School,ES,41.90672216,-87.69300325,95.4,57.0,77.5,,,,,,,,
Andrew Carnegie Elementary School,ES,41.78339577,-87.59079649,94.6,48.0,6.2,Mid-Low,15.569433680966075,89.34509047487829,63.0,-3.5339366515837085,-13.08190045248869,0.0040723981900328,11.475113122171948
Andrew Jackson Elementary Language Academy,ES,41.87432724,-87.66097599,97.4,86.0,0.7,,,,,,,,
Anna R. Langford Community Academy,ES,41.78465652,-87.6572053,91.8,31.0,29.0,Low-High,30.144028740491002,66.58399926517866,32.0,-20.53393665158371,9.718099547511311,-2.7959276018099644,-19.524886877828052
Annie Keller Elementary Gifted Magnet School,ES,41.69719792,-87.6972638,97.5,99.0,4.9,High-Mid,54.3331877269899,95.49003398548727,82.0,47.46606334841629,-14.381900452488688,2.9040723981900385,30.475113122171948
A.N. Pritzker School,ES,41.907025,-87.67779555,94.6,59.0,36.5,,,,,,,,
Anthony Overton Elementary School,ES,41.80557578,-87.62012252,90.5,32.0,24.9,,,,,,,,
Ariel Elementary Community Academy,ES,41.81133445,-87.5985003,95.5,,5.4,,,,,,,,
Arna Wendell Bontemps Elementary School,ES,41.78857298,-87.65634499,94.2,33.0,31.2,,,,,,,,
Arnold Mireles Elementary Academy,ES,41.73168217,-87.55282373,92.8,27.0,11.8,,,,,,,,
Arthur A Libby Elementary School,ES,41.79764784,-87.65996858,90.8,36.0,21.6,,,,,,,,
Arthur Dixon Elementary School,ES,41.74365776,-87.61001515,94.8,47.0,32.2,,,,,,,,
Arthur E Canty Elementary School,ES,41.94799245,-87.8293319,96.1,87.0,2.3,High-Low,17.292377267452576,96.64737760631947,64.0,35.46606334841629,-16.981900452488688,1.5040723981900328,12.475113122171948
Arthur R Ashe Elementary School,ES,41.74015307,-87.60113659,87.9,,41.6,,,,,,,,
Asa Philip Randolph Elementary School,ES,41.76059741,-87.67600175,92.1,15.0,43.5,,,,,,,,
Ashburn Community Elementary School,ES,41.74233179,-87.70964592,95.5,48.0,28.5,Mid-High,20.40679004613433,68.94461284100302,40.0,-3.5339366515837085,9.218099547511311,0.9040723981900385,-11.524886877828052
Augustus H Burley Elementary School,ES,41.93796493,-87.66985204,96.5,99.0,0.7,,,,,,,,
Austin Business and Entrepreneurship Academy High School,HS,41.88520477,-87.76321191,76.0,38.0,12.4,,,,,,,,
Austin O Sexton Elementary School,ES,41.78517099,-87.60866927,90.5,23.0,8.6,,,,,,,,
Austin Polytechnical Academy High School,HS,41.88520477,-87.76321191,70.1,38.0,21.5,,,,,,,,
Avalon Park Elementary School,ES,41.74826636,-87.59161761,92.1,32.0,52.1,Low-Mid,33.02848392298047,45.485441352071284,32.0,-19.53393665158371,32.81809954751131,-2.495927601809967,-19.524886877828052
Barbara Vick Early Childhood & Family Center,ES,41.68821843,-87.6856634,60.9,,0.0,,,,,,,,
Belmont-Cragin Elementary School,ES,41.92559567,-87.76984337,95.3,75.0,1.3,High-Mid,12.322788369092255,96.39019013502342,66.0,23.46606334841629,-17.981900452488688,0.7040723981900356,14.475113122171948
Benito Juarez Community Academy High School,HS,41.85267306,-87.66376931,83.7,46.0,17.2,,,,,,,,
Benjamin Banneker Elementary School,ES,41.77275433,-87.63729464,91.3,36.0,26.9,,,,,,,,
Benjamin E Mays Elementary Academy,ES,41.77256081,-87.64612737,95.5,27.0,0.3,Mid-Low,29.728350832752298,92.91815927252686,48.0,-24.53393665158371,-18.981900452488688,0.9040723981900385,-3.5248868778280524
Bernhard Moos Elementary School,ES,41.9125311,-87.69690545,93.0,50.0,45.5,Low-Mid,28.288565952644547,53.283732892440526,32.0,-1.5339366515837085,26.21809954751131,-1.5959276018099615,-19.524886877828052
Betsy Ross Elementary School,ES,41.78383382,-87.62365383,88.9,39.0,64.1,,,,,,,,
Beulah Shoesmith Elementary School,ES,41.80432122,-87.59392226,94.7,45.0,0.3,Mid-Low,11.558643377176546,94.49802516763111,39.0,-6.5339366515837085,-18.981900452488688,0.10407239819004133,-12.524886877828052
Blair Early Childhood Center,ES,41.77652935,-87.79056836,80.2,,0.8,,,,,,,,
Bret Harte Elementary School,ES,41.7934746,-87.58686328,94.2,63.0,17.9,,,,,,,,
Brian Piccolo Elementary Specialty School,ES,41.9001461,-87.73129753,90.6,27.0,65.8,,,,,,,,
Brighton Park Elementary School,ES,41.82391375,-87.69204069,96.3,55.0,2.6,,,,,,,,
Bronzeville Scholastic Academy High School,HS,41.80456384,-87.62448408,92.3,41.0,16.2,,,,,,,,
Burnham Elementary Inclusive Academy,ES,41.72050221,-87.57759489,95.5,61.0,29.4,High-High,55.15255914488617,69.3120235142831,99.0,9.466063348416291,10.11809954751131,0.9040723981900385,47.47511312217195
Burnside Elementary Scholastic Academy,ES,41.72850759,-87.60747108,94.9,51.0,8.9,,,,,,,,
Calmeca Academy of Fine Arts and Dual Language,ES,41.82440547,-87.71160875,96.5,58.0,1.9,High-High,14.556233741620922,94.38780196564709,72.0,6.4660633484162915,-17.38190045248869,1.9040723981900385,20.475113122171948
Carl Schurz High School,HS,41.94640794,-87.73562542,81.2,48.0,13.8,,,,,,,,
Carl von Linne Elementary School,ES,41.94001885,-87.70259825,95.8,68.0,1.8,High-Low,13.220952314720988,95.33388444934326,75.0,16.46606334841629,-17.481900452488688,1.2040723981900356,23.475113122171948
Carrie Jacobs Bond Elementary School,ES,41.76538639,-87.65305514,91.7,54.0,18.8,Low-Mid,30.2988764118339,78.05639753834848,63.0,2.4660633484162915,-0.48190045248868785,-2.8959276018099587,11.475113122171948
Carroll-Rosenwald Specialty Elementary School,ES,41.74248931,-87.696003,94.8,35.0,27.8,,,,,,,,
Carter G Woodson South Elementary School,ES,41.81447955,-87.60845505,91.9,26.0,70.5,Low-Mid,78.06912536519276,28.01506383760448,1.0,-25.53393665158371,51.218099547511315,-2.695927601809956,-50.52488687782805
Cesar E Chavez Multicultural Academic Center Elementary School,ES,41.80715514,-87.66600055,95.1,54.0,11.1,Mid-High,4.5956302738427635,85.44135207127768,52.0,2.4660633484162915,-8.181900452488689,0.5040723981900328,0.47511312217194757
Charles Allen Prosser Career Academy High School,HS,41.92003613,-87.76108432,86.0,59.0,9.7,,,,,,,,
Charles Evans Hughes Elementary School,ES,41.86049033,-87.73177486,94.4,42.0,0.0,,,,,,,,
Charles Gates Dawes Elementary School,ES,41.74510467,-87.71738613,95.7,44.0,35.6,Mid-Mid,30.17900378404751,62.07403325066593,30.0,-7.5339366515837085,16.318099547511313,1.1040723981900413,-21.524886877828052
Charles G Hammond Elementary School,ES,41.85269133,-87.69627777,95.3,40.0,8.5,,,,,,,,
Charles H Wacker Elementary School,ES,41.7162148,-87.6480814,93.4,32.0,11.5,,,,,,,,
Charles Kozminski Elementary Community Academy,ES,41.7980295,-87.60246287,92.0,36.0,55.6,,,,,,,,
Charles N Holden Elementary School,ES,41.83805473,-87.65380002,94.9,53.0,4.7,Mid-Mid,8.257279465618101,91.20969964177459,35.0,1.4660633484162915,-14.58190045248869,0.30407239819004417,-16.524886877828052
