School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link,Network Manager,Collaborative Name,Adequate Yearly Progress Made?,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon,Environment Score,Instruction Icon,Instruction Score,Leaders Icon,Leaders Score,Teachers Icon,Teachers Score,Parent Engagement Icon,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,Individualized Education Program Compliance Rate,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read %,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading %,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking Algebra %,Students Passing Algebra %,9th Grade EXPLORE (2009),9th Grade EXPLORE (2010),10th Grade PLAN (2009),10th Grade PLAN (2010),Net Change EXPLORE and PLAN,11th Grade Average ACT (2011),Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students),General Services Route,Freshman on Track Rate %,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Community Area Name,Ward,Police District,Location
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl ,Chicago,IL,60614,(773) 534-5720,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610038.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,Yes,Very Strong,99.0,Very Strong,99,Strong,74.0,Strong,66.0,Strong,65.0,Strong,70.0,Strong,56,Average,47,96.0,2.0,96.4%,95.8%,80.1,43.3,89.6,84.9,60.7,62.6,81.9,85.2,52,62.4,66.3,77.9,69.7,64.4,0.2,0.9,Yellow,Green,67.1,54.5,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,813,33,,150000000000000,1171699.458,1915829.428,41.92449696,-87.64452163,7,LINCOLN PARK,43,18,"(41.92449696, -87.64452163)"
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr ,Chicago,IL,60649,(773) 535-6650,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610281.pdf,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,54.0,Strong,66,Strong,74.0,Very Strong,84.0,Strong,63.0,Strong,76.0,Weak,46,Average,50,95.6,15.7,95.3%,100.0%,62.4,51.7,21.9,15.1,29,42.8,38.5,27.4,44.8,42.7,14.1,34.4,16.8,16.5,0.7,1.4,Green,Green,17.2,27.3,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,521,46,,150000000000000,1196129.985,1856209.466,41.76032435,-87.55673627,43,SOUTH SHORE,7,4,"(41.76032435, -87.55673627)"
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave ,Chicago,IL,60609,(773) 535-4389,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609993.pdf,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,56.0,Average,44,Average,45.0,Weak,37.0,Strong,65.0,Average,48.0,Average,53,Strong,58,95.5,10.4,95.8%,100.0%,76.9,NDA,26,24.7,61.8,49.7,39.2,27.2,69.7,60.6,9.1,18.2,11.1,9.6,0.9,2.4,Green,Green,42.9,25,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,556,42,,150000000000000,1164504.29,1873959.199,41.8097569,-87.6721446,61,NEW CITY,20,9,"(41.8097569, -87.6721446)"
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave ,Chicago,IL,60625,(773) 534-5108,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610212.pdf,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,66.0,Weak,37,Strong,66.0,Strong,71.0,Average,43.0,Average,50.0,Weak,46,Average,51,97.0,2.3,96.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,60.7,39.8,53.7,59.8,17.5,20.8,34.5,15.6,0.2,0.3,Yellow,Yellow,29.2,50,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,266,31,,150000000000000,1153858.196,1932691.891,41.9711433,-87.70962725,14,ALBANY PARK,39,17,"(41.9711433, -87.70962725)"
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave ,Chicago,IL,60625,(773) 534-5080,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610209.pdf,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,43.0,Strong,61,Weak,28.0,Weak,37.0,Strong,62.0,Average,56.0,Average,51,Average,53,96.4,22.5,95.9%,100.0%,63.9,43.2,51.3,32.9,50.7,70,52.5,31.3,59.8,57.6,16.5,24.7,19.9,14.2,0.3,-0.4,Yellow,Yellow,31.6,65.2,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,"1,023",31,,150000000000000,1149774.095,1932831.151,41.97160605,-87.72464139,14,ALBANY PARK,39,17,"(41.97160605, -87.72464139)"
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave ,Chicago,IL,60618,(773) 534-5150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609799.pdf,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Very Strong,99.0,Very Strong,88,Strong,64.0,Average,46.0,Average,51.0,Average,51.0,NDA,NDA,NDA,NDA,96.3,6.3,95.9%,99.3%,91.9,67.3,79.2,77.4,53.3,54.7,84.2,83,49.8,53.6,62.6,71.7,64.0,57.9,0.0,0.3,Yellow,Yellow,58.1,65.6,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,998,35,,150000000000000,1160327.881,1924862.722,41.94952795,-87.68605496,5,NORTH CENTER,47,19,"(41.94952795, -87.68605496)"
609947,Alexander Graham Elementary School,ES,4436 S Union Ave ,Chicago,IL,60609,(773) 535-1308,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609947.pdf,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,49.0,Weak,30,Weak,31.0,Weak,33.0,Weak,30.0,Average,41.0,Average,48,Average,51,92.5,27.4,95.0%,92.1%,76.7,47.4,59.4,38.8,51.6,76.2,44.4,31.3,66.7,49.3,5.9,35.3,20.8,11.1,1.7,-0.5,Green,Yellow,45.3,31.8,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,476,42,,150000000000000,1172335.702,1875308.997,41.81329195,-87.64338051,61,NEW CITY,11,9,"(41.81329195, -87.64338051)"
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave ,Chicago,IL,60657,(773) 534-5484,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609963.pdf,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,73.0,Strong,64,Strong,60.0,Average,59.0,Average,59.0,Average,48.0,Strong,57,Strong,54,95.3,12.5,97.4%,97.4%,70.3,47.2,34.4,48.4,56.5,62.9,31.9,46.8,48.9,51.1,14.3,35.7,13.8,21.3,0.6,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,307,33,,150000000000000,1164474.274,1923334.414,41.94524725,-87.67085683,6,LAKE VIEW,32,19,"(41.94524725, -87.67085683)"
610028,Alfred David Kohn Elementary School,ES,10414 S State St ,Chicago,IL,60628,(773) 535-5489,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610028.pdf,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,19.0,Weak,26,Weak,22.0,Very Weak,13.0,Weak,21.0,Very Weak,19.0,Average,47,Weak,45,90.1,31.2,94.2%,96.4%,41.3,31.9,34,22.2,42.8,56.2,29.6,22.8,80,61.7,4.3,19.6,5.0,5.6,0.5,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,428,48,,150000000000000,1178053.498,1835837.822,41.70485072,-87.62360199,49,ROSELAND,34,5,"(41.70485072, -87.62360199)"
610098,Alfred Nobel Elementary School,ES,4127 W Hirsch St ,Chicago,IL,60651,(773) 534-4365,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610098.pdf,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,37.0,Weak,34,Weak,37.0,Weak,35.0,Average,48.0,Weak,36.0,Average,48,Average,51,94.6,24.8,95.2%,100.0%,55.4,33.2,26.7,23.2,47.3,50,39.2,28.1,59.5,51,15.2,16.7,9.7,7.1,-0.3,0.7,Yellow,Yellow,23.4,44.4,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,801,34,,150000000000000,1148503.002,1908960.619,41.90612797,-87.72993324,23,HUMBOLDT PARK,37,25,"(41.90612797, -87.72993324)"
610316,Amelia Earhart Options for Knowledge Elementary School,ES,1710 E 93rd St ,Chicago,IL,60617,(773) 535-6416,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610316.pdf,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Track_E,Not on Probation,Level 2,No,Very Strong,81.0,Strong,63,Strong,60.0,Strong,73.0,Weak,34.0,Average,54.0,NDA,NDA,NDA,NDA,96.3,33.4,95.4%,100.0%,76.7,NDA,58.1,59.1,66.7,58.1,48.8,67.5,51.3,62.5,NDA,NDA,27.5,26.4,0.1,1.0,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,264,47,,150000000000000,1189297.589,1843689.527,41.72613498,-87.58217727,48,CALUMET HEIGHTS,8,4,"(41.72613498, -87.58217727)"
609780,Ames Middle School,MS,1920 N Hamlin Ave ,Chicago,IL,60647,(773) 534-4970,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609780.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Weak,38.0,Very Weak,17,Weak,27.0,Weak,35.0,Weak,26.0,Weak,26.0,Average,50,Average,50,94.3,5.3,96.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,35.1,27.9,76.8,51.1,9.2,18.4,14.5,3.0,-1.9,-1.5,Red,Red,28.8,55,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,586,34,,150000000000000,1150696.779,1912593.823,41.91605519,-87.72177945,22,LOGAN SQUARE,26,25,"(41.91605519, -87.72177945)"
610339,Amos Alonzo Stagg Elementary School,ES,7424 S Morgan St ,Chicago,IL,60621,(773) 535-3565,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610339.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,23.0,Weak,35,Weak,35.0,Average,42.0,Weak,25.0,Average,42.0,Weak,44,Average,50,91.4,34.3,95.5%,100.0%,NDA,NDA,35.3,22.4,47.6,58.2,20.1,26.8,49.2,43.9,8,23.5,7.7,7.8,-0.4,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,539,45,,150000000000000,1170892.32,1855485.867,41.75892669,-87.6492534,68,ENGLEWOOD,17,7,"(41.75892669, -87.6492534)"
609837,Andrew Carnegie Elementary School,ES,1414 E 61st Pl ,Chicago,IL,60637,(773) 535-0530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609837.pdf,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,48.0,Average,51,Weak,37.0,Strong,63.0,Average,42.0,Weak,31.0,Average,49,Average,49,94.6,6.2,94.4%,100.0%,NDA,NDA,40.2,48.3,40.8,52.3,29.8,44.7,32.6,36.2,18.4,38.8,21.4,20.4,-1.2,0.1,Red,Yellow,48.1,8.3,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,730,46,,150000000000000,1186764.646,1864534.473,41.78339577,-87.59079649,42,WOODLAWN,20,3,"(41.78339577, -87.59079649)"
609869,Anna R. Langford Community Academy,ES,6010 S Throop St ,Chicago,IL,60636,(773) 535-9180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609869.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,31.0,Weak,31,Average,54.0,Weak,32.0,Average,49.0,Average,50.0,Average,53,Average,52,91.8,29.0,95.4%,100.0%,58.8,NDA,40,14,52.8,59.8,31.9,17,51.3,44.9,7.7,11.5,12.6,7.5,0.5,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,339,43,,150000000000000,1168649.029,1864844.463,41.78465652,-87.6572053,67,WEST ENGLEWOOD,16,7,"(41.78465652, -87.6572053)"
610084,Annie Keller Elementary Gifted Magnet School,ES,3020 W 108th St ,Chicago,IL,60655,(773) 535-2636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610084.pdf,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99.0,Very Strong,97,Very Strong,85.0,Very Strong,82.0,Very Strong,94.0,Very Strong,82.0,Strong,68,Strong,60,97.5,4.9,96.5%,100.0%,100,NDA,100,100,63.4,74.7,96.5,97.7,61.2,76.7,89.3,100,92.8,92.3,1.6,2.3,Green,Green,51.5,70.6,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,245,49,,150000000000000,1157959.455,1832892.067,41.69719792,-87.6972638,74,MOUNT GREENWOOD,19,22,"(41.69719792, -87.6972638)"
609836,Arthur E Canty Elementary School,ES,3740 N Panama Ave ,Chicago,IL,60634,(773) 534-1238,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609836.pdf,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,87.0,Strong,64,Strong,70.0,Strong,64.0,Average,49.0,Average,47.0,Strong,66,Average,53,96.1,2.3,96.1%,99.1%,75.3,60.6,77.2,58.3,52.9,62,81.3,71.3,61.4,59.7,41.3,60,47.4,34.2,0.3,0.1,Yellow,Yellow,29.8,100,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,784,30,,150000000000000,1121355.698,1924041.412,41.94799245,-87.8293319,17,DUNNING,36,16,"(41.94799245, -87.8293319)"
610287,Ashburn Community Elementary School,ES,8300 S Saint Louis Ave ,Chicago,IL,60652,(773) 535-7860,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610287.pdf,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,48.0,Strong,76,Average,52.0,Average,40.0,Strong,68.0,Strong,70.0,Average,51,Average,50,95.5,28.5,97.1%,100.0%,70.6,61.7,40.4,33.3,55.5,56.2,45.8,36.8,69.9,45.5,22.4,30.6,15.1,9.5,0.4,-0.6,Yellow,Yellow,40.8,40,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,490,44,,150000000000000,1154458.76,1849313.602,41.74233179,-87.70964592,70,ASHBURN,18,8,"(41.74233179, -87.70964592)"
609786,Avalon Park Elementary School,ES,8045 S Kenwood Ave ,Chicago,IL,60619,(773) 535-6615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609786.pdf,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,32.0,Weak,24,Weak,38.0,Weak,32.0,Weak,32.0,Very Weak,16.0,Weak,46,Weak,45,92.1,52.1,96.4%,97.7%,47.8,15.4,11.9,22.3,41.7,40.9,14.8,20.6,42.7,44.1,2.2,24.4,7.9,5.1,1.1,1.2,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,398,47,,150000000000000,1186651.081,1851731.65,41.74826636,-87.59161761,45,AVALON PARK,8,4,"(41.74826636, -87.59161761)"
609922,Belmont-Cragin Elementary School,ES,2456 N Mango Ave ,Chicago,IL,60639,(773) 534-2900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609922.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Strong,75.0,Very Strong,81,Strong,67.0,Strong,66.0,Average,45.0,Average,53.0,Strong,55,Strong,54,95.3,1.3,96.8%,98.9%,60.7,31.8,22.5,21.3,51.8,55.3,42.9,39,61.7,53.2,0,6.9,11.0,11.0,0.2,1.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,634,29,,150000000000000,1137592.32,1915980.764,41.92559567,-87.76984337,19,BELMONT CRAGIN,30,25,"(41.92559567, -87.76984337)"
610290,Benjamin E Mays Elementary Academy,ES,838 W Marquette Rd ,Chicago,IL,60621,(773) 535-3892,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610290.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,27.0,Weak,23,Average,55.0,Average,48.0,Average,41.0,Weak,37.0,NDA,NDA,NDA,NDA,95.5,0.3,96.6%,100.0%,NDA,60.7,45.9,26.8,47.2,60.2,37.2,24.7,60.7,57.8,17.1,31.4,17.4,9.6,0.1,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,301,45,,150000000000000,1171705.53,1860460.828,41.77256081,-87.64612737,68,ENGLEWOOD,16,7,"(41.77256081, -87.64612737)"
610076,Bernhard Moos Elementary School,ES,1711 N California Ave ,Chicago,IL,60647,(773) 534-4340,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610076.pdf,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Average,50.0,Weak,34,Average,47.0,Weak,32.0,Weak,34.0,Weak,31.0,NDA,NDA,NDA,NDA,93.0,45.5,96.3%,98.5%,52.7,52.4,43,26.5,60.8,61.6,60.6,30.5,70.8,61.3,10.9,12.7,24.0,7.5,1.4,0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,429,34,,150000000000000,1157476.303,1911358.897,41.9125311,-87.69690545,24,WEST TOWN,1,14,"(41.9125311, -87.69690545)"
610175,Beulah Shoesmith Elementary School,ES,1330 E 50th St ,Chicago,IL,60615,(773) 535-1764,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610175.pdf,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,45.0,Average,54,Average,40.0,Weak,39.0,Weak,37.0,Average,41.0,Average,49,Weak,45,94.7,0.3,94.8%,100.0%,65,12,32.5,28.4,54.4,61.3,56.4,43.6,83.3,66.7,NDA,NDA,10.8,19.6,0.0,1.6,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,325,46,,150000000000000,1185846.553,1872152.239,41.80432122,-87.59392226,39,KENWOOD,4,2,"(41.80432122, -87.59392226)"
609821,Burnham Elementary Inclusive Academy,ES,1903 E 96th St ,Chicago,IL,60617,(773) 535-6530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609821.pdf,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,61.0,Strong,77,Very Strong,85.0,Very Strong,99.0,Strong,65.0,Strong,71.0,Strong,54,Average,47,95.5,29.4,96.9%,96.0%,75.9,65.1,59.1,43.6,61.1,79.6,77.2,58.7,57.5,65.5,8.7,26.1,36.5,22.0,1.3,0.6,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,286,47,,150000000000000,1190566.496,1841647.953,41.72050221,-87.57759489,51,SOUTH DEERING,7,4,"(41.72050221, -87.57759489)"
610353,Calmeca Academy of Fine Arts and Dual Language,ES,3456 W 38th St ,Chicago,IL,60632,(773) 535-7000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610353.pdf,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,Yes,Average,58.0,Strong,67,Average,59.0,Strong,72.0,Strong,64.0,Average,55.0,Average,51,Strong,57,96.5,1.9,96.9%,100.0%,47,NDA,44.2,23.9,52.8,64.5,35.8,26.6,49.8,49.3,16.1,21,13.9,10.3,-0.7,1.5,Red,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,792,39,,150000000000000,1153706.842,1879216.756,41.82440547,-87.71160875,58,BRIGHTON PARK,12,9,"(41.82440547, -87.71160875)"
610039,Carl von Linne Elementary School,ES,3221 N Sacramento Ave ,Chicago,IL,60618,(773) 534-5262,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610039.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Strong,68.0,Average,49,Strong,66.0,Strong,75.0,Weak,37.0,Average,44.0,Average,50,Strong,55,95.8,1.8,96.3%,100.0%,66.1,41.2,40.2,29.7,51.3,72,49.4,44.2,64.4,67.6,20.4,40.7,24.8,15.1,1.2,0.9,Green,Green,48.2,24,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,644,31,,150000000000000,1155853.119,1921364.031,41.94001885,-87.70259825,21,AVONDALE,33,17,"(41.94001885, -87.70259825)"
610238,Carrie Jacobs Bond Elementary School,ES,7050 S May St ,Chicago,IL,60621,(773) 535-3480,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610238.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Average,54.0,Average,49,Strong,67.0,Strong,63.0,Weak,39.0,Weak,32.0,Average,53,Average,52,91.7,18.8,94.3%,96.9%,NDA,56.5,34,16.1,41.7,48.3,41.3,23.8,65.8,52.8,7.7,11.5,7.9,5.6,-0.2,0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,NDA,NDA,,,343,45,,150000000000000,1169836.444,1857831.503,41.76538639,-87.65305514,68,ENGLEWOOD,17,7,"(41.76538639, -87.65305514)"
