id,school,level,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,safety,attendance,misconduct,instr,teachers,leaders,isat_exc_math,isat_exc_read,isat_va_math,isat_va_read
0,Abraham Lincoln Elementary School,ES,2.353449244174943,0.7570282989784278,-0.8028301777208315,0.8801128023310001,1.1226933553214793,0.8094365627091513,2.860788518578271,3.129803505999679,-0.026551614982685316,0.6965233237780487,99.0,96.0,2.0,66.0,70.0,65.0,69.7,64.4,0.2,0.9
1,Adam Clayton Powell Paideia Community Academy Elementary School,ES,0.1158780814695729,0.542994483655699,-0.14622107501407022,1.9684243320951402,1.4512865324887416,0.7018236092853913,-0.26057077635073456,0.012365620007068891,0.4581207220028409,1.1796366062537758,54.0,95.6,15.7,84.0,76.0,63.0,16.8,16.5,0.7,1.4
2,Agustin Lara Elementary Academy,ES,0.2153256887009227,0.4894860298250206,-0.400237735185299,-0.8732779956223368,-0.08214829429181555,0.8094365627091513,-0.5968987155018751,-0.4367016328812194,0.6519896567970515,2.1458631712052307,56.0,95.5,10.4,37.0,48.0,65.0,11.1,9.6,0.9,2.4
3,Albany Park Multicultural Academy,MS,0.7125637248576716,1.2921128372852424,-0.7884518762017053,1.1824215605988169,0.02738276476393852,-0.3743059249522089,0.7838159820659647,-0.04620836950009917,-0.026551614982685316,0.1167873848071758,66.0,97.0,2.3,71.0,50.0,43.0,34.5,15.6,0.2,0.3
4,Alessandro Volta Elementary School,ES,-0.43108375830285084,0.9710621143011567,0.17968709275278943,-0.8732779956223368,0.35597594193120075,0.6480171325735113,-0.07765558137379866,-0.13732346428902725,0.07038285241441991,-0.5595712106588425,43.0,96.4,22.5,37.0,56.0,62.0,19.9,14.2,0.3,-0.4
5,Alexander Graham Bell Elementary School,ES,2.353449244174943,0.9175536604704707,-0.5967411892800232,-0.32912223074026675,0.08214829429181555,0.05614588874283118,2.52446057942713,2.706769137336799,-0.22042054977689582,0.1167873848071758,99.0,96.3,6.3,46.0,51.0,51.0,64.0,57.9,0.0,0.3
6,Alexander Graham Elementary School,ES,-0.13274093660880154,-1.1157675850954232,0.41453268423184997,-1.1151250022365902,-0.46550700098695486,-1.073790122206649,-0.024551169928881615,-0.3390783170359393,1.4274653959738932,-0.656193867153988,49.0,92.5,27.4,33.0,41.0,30.0,20.8,11.1,1.7,-0.5
7,Alexander Hamilton Elementary School,ES,1.0606303501673957,0.38246912216365614,-0.2995896245514159,0.4568805407560567,-0.08214829429181555,0.48659770243787126,-0.4375854811671243,0.32476023071196514,0.3611862546057356,0.40665535429261224,73.0,95.3,12.5,59.0,48.0,59.0,13.8,21.3,0.6,0.6
8,Alfred David Kohn Elementary School,ES,-1.6244550450790483,-2.3999704770317813,0.596657836807448,-2.324360035307857,-1.6703486506002498,-1.5580484126135692,-0.9568286152952008,-0.6970304751352996,0.2642517872086304,-0.26970324117340605,19.0,90.1,31.2,13.0,19.0,21.0,5.0,5.6,0.5,-0.1
9,Alfred Nobel Elementary School,ES,-0.7294265799969002,0.007909945348884418,0.28992073773275673,-0.9942014989294635,-0.73933464862634,-0.10527354139280885,-0.6795055777495237,-0.5994071592900195,-0.5112239519682115,0.5032780107877577,37.0,94.6,24.8,35.0,36.0,48.0,9.7,7.1,-0.3,0.7
