School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link,Network Manager,Collaborative Name,Adequate Yearly Progress Made?,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon,Environment Score,Instruction Icon,Instruction Score,Leaders Icon,Leaders Score,Teachers Icon,Teachers Score,Parent Engagement Icon,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,Individualized Education Program Compliance Rate,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read %,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading %,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking Algebra %,Students Passing Algebra %,9th Grade EXPLORE (2009),9th Grade EXPLORE (2010),10th Grade PLAN (2009),10th Grade PLAN (2010),Net Change EXPLORE and PLAN,11th Grade Average ACT (2011),Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students),General Services Route,Freshman on Track Rate %,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Community Area Name,Ward,Police District,Location
609720,Albert G Lane Technical High School,HS,2501 W Addison St ,Chicago,IL,60618,(773) 534-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609720.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,88.0,NDA,NDA,Strong,62.0,Average,52.0,NDA,,NDA,,NDA,NDA,NDA,NDA,96.3,2.1,96.2%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,3.5,67.9,92.2,79.8,"4,368",35,90.7,150000000000000,1158975.392,1923791.705,41.94661693,-87.69105603,5,NORTH CENTER,47,19,"(41.94661693, -87.69105603)"
610334,Al Raby High School,HS,3545 W Fulton Blvd ,Chicago,IL,60624,(773) 534-6755,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610334.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Average,52.0,NDA,NDA,Average,51.0,Average,53.0,NDA,,NDA,,NDA,NDA,NDA,NDA,80.3,14.0,95.1%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,13,14.1,14,1.2,15.2,1.1,13.5,72.2,64.2,551,34,74.3,150000000000000,1152512.295,1901720.85,41.886183,-87.71539705,27,EAST GARFIELD PARK,28,11,"(41.886183, -87.71539705)"
609764,Benito Juarez Community Academy High School,HS,2150 S Laflin St ,Chicago,IL,60608,(773) 534-7030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609764.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,46.0,Average,53,Average,44.0,Average,45.0,Average,49.0,Average,48.0,NDA,NDA,NDA,NDA,83.7,17.2,95.8%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.2,13.7,14.6,14.5,1.3,15.8,1.2,14.8,56.2,48.8,"1,683",39,71.1,150000000000000,1166665.696,1889615.348,41.85267306,-87.66376931,31,LOWER WEST SIDE,25,12,"(41.85267306, -87.66376931)"
610381,Bronzeville Scholastic Academy High School,HS,4934 S Wabash Ave ,Chicago,IL,60615,(773) 535-1150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610381.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,41.0,Weak,38,Average,42.0,Average,43.0,Weak,32.0,Very Weak,15.0,Average,51,Weak,43,92.3,16.2,95.6%,97.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.3,13.8,15.3,15.7,1.4,16.3,1,14.7,85.3,73.2,550,42,71.1,150000000000000,1177513.255,1872170.444,41.80456384,-87.62448408,38,GRAND BOULEVARD,3,2,"(41.80456384, -87.62448408)"
609729,Carl Schurz High School,HS,3601 N Milwaukee Ave ,Chicago,IL,60641,(773) 534-3420,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609729.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,48.0,Weak,36,Weak,36.0,Weak,29.0,Weak,30.0,Weak,31.0,NDA,NDA,NDA,NDA,81.2,13.8,96.0%,98.9%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.1,12.9,14.3,14,0.9,15.6,1.3,9.7,62.1,40.4,"2,366",29,61.6,150000000000000,1146851.198,1923627.843,41.94640794,-87.73562542,16,IRVING PARK,38,17,"(41.94640794, -87.73562542)"
609679,Charles Allen Prosser Career Academy High School,HS,2148 N Long Ave ,Chicago,IL,60639,(773) 534-3200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609679.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,59.0,Average,47,Average,53.0,Average,51.0,Weak,37.0,Average,44.0,Weak,46,Weak,45,86.0,9.7,94.4%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.5,15.1,16.3,16.2,0.7,17.9,1.6,27.7,78.7,58.0,"1,415",29,79.4,150000000000000,1139989.443,1913970.649,41.92003613,-87.76108432,19,BELMONT CRAGIN,37,25,"(41.92003613, -87.76108432)"
609732,Charles P Steinmetz Academic Centre High School,HS,3030 N Mobile Ave ,Chicago,IL,60634,(773) 534-3030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609732.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,26.0,Weak,35,Weak,29.0,Weak,34.0,Weak,36.0,Weak,32.0,NDA,NDA,NDA,NDA,79.2,30.4,96.2%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,13.8,13.8,14.3,1.3,16.1,2.3,16.3,56.7,47.0,"1,890",30,70.3,150000000000000,1133838.348,1919613.694,41.93563171,-87.78355194,19,BELMONT CRAGIN,36,25,"(41.93563171, -87.78355194)"
610340,Chicago Academy High School,HS,3400 N Austin Ave ,Chicago,IL,60634,(773) 534-0146,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610340.pdf,AUSL Schools,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,58.0,Weak,35,Average,57.0,Average,53.0,Average,56.0,Average,57.0,NDA,NDA,NDA,NDA,93.1,6.3,96.1%,97.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,14.4,16.3,16.1,1.5,18.4,2.1,23.9,70.1,64.2,502,30,80.6,150000000000000,1135740.091,1922002.941,41.94215439,-87.77650575,17,DUNNING,38,16,"(41.94215439, -87.77650575)"
609753,Chicago High School for Agricultural Sciences,HS,3857 W 111th St ,Chicago,IL,60655,(773) 535-2500,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609753.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Very Strong,87.0,Strong,77,Average,49.0,Average,47.0,Average,57.0,Average,40.0,Average,52,Strong,55,92.8,5.2,95.2%,96.8%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,16.1,16.5,16.9,17.4,1.3,20.4,3.5,30.7,70.7,79.6,579,49,88.1,150000000000000,1152383.425,1830663.647,41.69119388,-87.71773863,74,MOUNT GREENWOOD,19,22,"(41.69119388, -87.71773863)"
609754,Chicago Military Academy High School,HS,3519 S Giles Ave ,Chicago,IL,60653,(773) 534-9750,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609754.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,32.0,NDA,NDA,Weak,23.0,Weak,35.0,NDA,,NDA,,NDA,NDA,NDA,NDA,90.3,28.2,95.6%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.8,14.4,15.2,15.6,0.8,17.4,2.2,24.4,83.6,69.3,483,40,88.1,150000000000000,1178881.169,1881647.166,41.83053768,-87.61917837,35,DOUGLAS,2,2,"(41.83053768, -87.61917837)"
