school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
Abraham Lincoln Elementary School,ES,41.92449696,-87.64452163,96.0,99.0,2.0,,,,
Adam Clayton Powell Paideia Community Academy Elementary School,ES,41.76032435,-87.55673627,95.6,54.0,15.7,,,,
Adlai E Stevenson Elementary School,ES,41.74711093,-87.73170248,95.7,61.0,2.3,,,,
Agustin Lara Elementary Academy,ES,41.8097569,-87.6721446,95.5,56.0,10.4,,,,
Air Force Academy High School,HS,41.82814609,-87.63279369,93.3,49.0,15.6,,,,
Albany Park Multicultural Academy,MS,41.9711433,-87.70962725,97.0,66.0,2.3,,,,
Albert G Lane Technical High School,HS,41.94661693,-87.69105603,96.3,88.0,2.1,,,,
Albert R Sabin Elementary Magnet School,ES,41.90684338,-87.68304259,94.7,67.0,28.1,,,,
Alcott High School for the Humanities,HS,41.93576106,-87.68052441,92.7,70.0,7.1,,,,
Alessandro Volta Elementary School,ES,41.97160605,-87.72464139,96.4,43.0,22.5,,,,
Alexander Graham Bell Elementary School,ES,41.94952795,-87.68605496,96.3,99.0,6.3,,,,
Alexander Graham Elementary School,ES,41.81329195,-87.64338051,92.5,49.0,27.4,,,,
Alexander Hamilton Elementary School,ES,41.94524725,-87.67085683,95.3,73.0,12.5,,,,
Alexander von Humboldt Elementary School,ES,41.90672216,-87.69300325,92.5,31.0,185.5,,,,
Alex Haley Elementary Academy,ES,41.68663682,-87.63359476,94.9,28.0,2.9,,,,
Alfred David Kohn Elementary School,ES,41.70485072,-87.62360199,90.1,19.0,31.2,,,,
Alfred Nobel Elementary School,ES,41.90612797,-87.72993324,94.6,37.0,24.8,,,,
Alice L Barnard Computer Math & Science Center Elementary School,ES,41.70514024,-87.65811642,95.6,46.0,28.5,,,,
Al Raby High School,HS,41.886183,-87.71539705,80.3,52.0,14.0,,,,
Ambrose Plamondon Elementary School,ES,41.86028668,-87.69250468,96.9,45.0,0.6,,,,
Amelia Earhart Options for Knowledge Elementary School,ES,41.72613498,-87.58217727,96.3,81.0,33.4,,,,
Ames Middle School,MS,41.91605519,-87.72177945,94.3,38.0,5.3,,,,
Amos Alonzo Stagg Elementary School,ES,41.75892669,-87.6492534,91.4,23.0,34.3,,,,
Ana Roque de Duprey Elementary School,ES,41.90672216,-87.69300325,95.4,57.0,77.5,,,,
Andrew Carnegie Elementary School,ES,41.78339577,-87.59079649,94.6,48.0,6.2,,,,
Andrew Jackson Elementary Language Academy,ES,41.87432724,-87.66097599,97.4,86.0,0.7,,,,
Anna R. Langford Community Academy,ES,41.78465652,-87.6572053,91.8,31.0,29.0,,,,
Annie Keller Elementary Gifted Magnet School,ES,41.69719792,-87.6972638,97.5,99.0,4.9,,,,
A.N. Pritzker School,ES,41.907025,-87.67779555,94.6,59.0,36.5,,,,
Anthony Overton Elementary School,ES,41.80557578,-87.62012252,90.5,32.0,24.9,,,,
Ariel Elementary Community Academy,ES,41.81133445,-87.5985003,95.5,,5.4,,,,
Arna Wendell Bontemps Elementary School,ES,41.78857298,-87.65634499,94.2,33.0,31.2,,,,
Arnold Mireles Elementary Academy,ES,41.73168217,-87.55282373,92.8,27.0,11.8,,,,
Arthur A Libby Elementary School,ES,41.79764784,-87.65996858,90.8,36.0,21.6,,,,
Arthur Dixon Elementary School,ES,41.74365776,-87.61001515,94.8,47.0,32.2,,,,
Arthur E Canty Elementary School,ES,41.94799245,-87.8293319,96.1,87.0,2.3,,,,
