school,x,y,level,safety,attendance,misconduct,instr,teachers
610038,10.033318511849142,-0.7169880222635956,ES,99.0,96.0,2.0,66.0,70.0
610281,-0.42224067174084656,2.897478133439195,ES,54.0,95.6,15.7,84.0,76.0
610185,-0.8956095131287468,-0.6774645879189672,ES,61.0,95.7,2.3,36.0,48.0
609993,0.24673282423850884,1.9486271025584618,ES,56.0,95.5,10.4,37.0,48.0
610513,-0.07896007701433158,-0.6287217760825988,HS,49.0,93.3,15.6,55.0,54.0
610212,1.0057204617108568,-0.7931442599663086,MS,66.0,97.0,2.3,71.0,50.0
609720,0.504974662588817,-1.0380733003642737,HS,88.0,96.3,2.1,52.0,48.0
610342,-1.2079019100359634,-1.2710078770159359,ES,67.0,94.7,28.1,18.0,48.0
610524,0.3607697625322653,-1.0871455119071074,HS,70.0,92.7,7.1,51.0,48.0
610209,0.7108288232850959,0.682141041495123,ES,43.0,96.4,22.5,37.0,56.0
609799,8.294608673289286,-2.2035936870773454,ES,99.0,96.3,6.3,46.0,51.0
609947,0.06472399370932527,-0.8609423051997587,ES,49.0,92.5,27.4,33.0,41.0
609963,1.8880414257605325,1.494202326343255,ES,73.0,95.3,12.5,59.0,48.0
610210,-4.477372114736258,0.6805850526623364,ES,31.0,92.5,185.5,45.0,48.0
609808,-2.633195107872334,1.417362380297622,ES,28.0,94.9,2.9,60.0,48.0
610028,-3.8142514173837307,-1.2920455286221917,ES,19.0,90.1,31.2,13.0,19.0
610098,-2.0285293825393844,-0.317366198481645,ES,37.0,94.6,24.8,35.0,36.0
609788,1.1181163373622058,1.8788103600299582,ES,46.0,95.6,28.5,58.0,48.0
610334,-0.4544308503947775,-1.8772098203512086,HS,52.0,80.3,14.0,53.0,48.0
610131,-1.8961325525511474,-0.8583455852914442,ES,45.0,96.9,0.6,28.0,48.0
610316,2.98106459117531,1.0490583354931415,ES,81.0,96.3,33.4,73.0,54.0
609780,-2.2802188009299242,-3.590255182076175,MS,38.0,94.3,5.3,35.0,26.0
610339,-3.054344242623616,-0.7321928134370825,ES,23.0,91.4,34.3,42.0,42.0
610320,-1.1204268780266764,0.8099899266028501,ES,57.0,95.4,77.5,14.0,48.0
609837,-0.485008694717525,-1.3820767376715926,ES,48.0,94.6,6.2,63.0,31.0
610060,9.595753797687887,-2.573842176607352,ES,86.0,97.4,0.7,46.0,48.0
609869,-2.1563945863994105,0.9586842498885795,ES,31.0,91.8,29.0,32.0,50.0
610084,14.429387241087115,1.7374505623404006,ES,99.0,97.5,4.9,82.0,82.0
610229,2.7771436979141595,-0.5799534077016109,ES,59.0,94.6,36.5,61.0,48.0
610277,-2.6573854052051127,2.5812256907667868,ES,32.0,90.5,24.9,76.0,48.0
609951,0.8708076159800295,-0.2955726674356665,ES,48.0,95.5,5.4,47.0,48.0
610161,-2.5737521866767334,1.3043459272814728,ES,33.0,94.2,31.2,59.0,48.0
610171,-3.261095362145834,0.40127253045756195,ES,27.0,92.8,11.8,54.0,48.0
610037,-3.4434791277179086,1.233814626484987,ES,36.0,90.8,21.6,60.0,48.0
609887,0.5640601226350614,0.0753862213286421,ES,47.0,94.8,32.2,52.0,48.0
609836,6.765892944324193,-0.35648577863437575,ES,87.0,96.1,2.3,64.0,47.0
610268,-3.077333909097172,1.0471430006946771,ES,48.0,87.9,41.6,47.0,48.0
609941,-3.1019133924572198,0.6904051241527714,ES,15.0,92.1,43.5,48.0,48.0
610287,0.9494966533194479,1.7019715331268586,ES,48.0,95.5,28.5,40.0,70.0
609820,7.4581608497931144,-0.24239223214023164,ES,99.0,96.5,0.7,65.0,48.0
400018,-1.0918325597443912,-2.577359094454175,HS,38.0,76.0,12.4,33.0,48.0
610169,-2.688894044618753,0.5762116415295987,ES,23.0,90.5,8.6,34.0,48.0
610501,-1.075227970938275,-2.092922960492327,HS,38.0,70.1,21.5,53.0,48.0
609786,-4.920919110542094,-0.5519101687548102,ES,32.0,92.1,52.1,32.0,16.0
609871,-0.35144049931982335,0.2607323473793175,ES,48.0,60.9,0.0,47.0,48.0
609922,0.5776542614193421,2.424102855130211,ES,75.0,95.3,1.3,66.0,53.0
609764,-0.6899891066317753,-1.786902047194609,HS,46.0,83.7,17.2,45.0,48.0
610265,-2.1900672725988155,1.1041489236175137,ES,36.0,91.3,26.9,58.0,48.0
610290,-0.6683068201687619,0.03524441653619994,ES,27.0,95.5,0.3,48.0,37.0
610076,-0.3760680342507623,0.17528066311071658,ES,50.0,93.0,45.5,32.0,31.0
610150,-5.9755520353560065,1.074540891105795,ES,39.0,88.9,64.1,50.0,48.0
610175,0.38220828224740355,0.3173889070866724,ES,45.0,94.7,0.3,39.0,41.0
610087,0.2322964327387435,1.9536294065185273,ES,48.0,80.2,0.8,47.0,66.0
