school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
610038,10.033318511849142,-0.7169880222635956,ES,99.0,96.0,2.0,66.0,70.0,6.657730176663272,High,Low,High-Low,99.17057061669611,66.0,49.62770562770563,16.835497835497833,-20.514718614718614
610281,-0.42224067174084656,2.897478133439195,ES,54.0,95.6,15.7,84.0,76.0,14.046345724595918,Mid,High,Mid-High,92.16650026879655,84.0,4.62770562770563,34.83549783549783,-6.814718614718615
610185,-0.8956095131287468,-0.6774645879189672,ES,61.0,95.7,2.3,36.0,48.0,6.079912142299589,Mid,Mid,Mid-Mid,97.58467091621227,36.0,11.62770562770563,-13.164502164502167,-20.214718614718613
609993,0.24673282423850884,1.9486271025584618,ES,56.0,95.5,10.4,37.0,48.0,5.717224531908305,Mid,High,Mid-High,94.27463328469395,37.0,6.62770562770563,-12.164502164502167,-12.114718614718614
610513,-0.07896007701433158,-0.6287217760825988,HS,49.0,93.3,15.6,55.0,54.0,6.861883579264831,Mid,Mid,Mid-Mid,91.92458336533294,55.0,-0.48387096774193594,10.451612903225808,0.0032258064516117457
610212,1.0057204617108568,-0.7931442599663086,MS,66.0,97.0,2.3,71.0,50.0,6.373085265759981,High,Low,High-Low,97.82658781967591,71.0,18.0,34.09090909090909,-5.181818181818182
609720,0.504974662588817,-1.0380733003642737,HS,88.0,96.3,2.1,52.0,48.0,7.064453995606791,Mid,Low,Mid-Low,98.72129636740651,52.0,38.516129032258064,7.451612903225808,-13.496774193548388
610342,-1.2079019100359634,-1.2710078770159359,ES,67.0,94.7,28.1,18.0,48.0,19.80110385697197,Mid,Low,Mid-Low,87.86959526918055,18.0,17.62770562770563,-31.164502164502167,5.585281385281387
610524,0.3607697625322653,-1.0871455119071074,HS,70.0,92.7,7.1,51.0,48.0,5.0852142593476195,Mid,Low,Mid-Low,95.97189155978803,51.0,20.516129032258064,6.451612903225808,-8.496774193548388
610209,0.7108288232850959,0.682141041495123,ES,43.0,96.4,22.5,37.0,56.0,6.624782242005506,High,Mid,High-Mid,89.16365870516859,37.0,-6.37229437229437,-12.164502164502167,-0.01471861471861402
