id,school,level,x,y,safety,attendance,misconduct,instr,teachers,leaders,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,attendance_dev,misconduct_dev,instr_dev
0,Abraham Lincoln Elementary School,ES,4.816929649146182,-1.133688987765912,99.0,96.0,2.0,66.0,70.0,65.0,26.406791722489537,High,Low,High-Low,98.01598236428767,66.0,47.46606334841629,1.4040723981900385,-17.28190045248869,14.475113122171948
1,Adam Clayton Powell Paideia Community Academy Elementary School,ES,1.687889339391775,1.6814170186224966,54.0,95.6,15.7,84.0,76.0,63.0,27.165204641051893,High,High,High-High,81.262055662717,84.0,2.4660633484162915,1.0040723981900328,-3.5819004524886893,32.47511312217195
2,Agustin Lara Elementary Academy,ES,0.4436533054238991,0.754774440731064,56.0,95.5,10.4,37.0,48.0,65.0,9.854461105944264,Mid,High,Mid-High,86.30476715348581,37.0,4.4660633484162915,0.9040723981900385,-8.881900452488688,-14.524886877828052
3,Albany Park Multicultural Academy,MS,1.5004355584679636,-0.8012122714213736,66.0,97.0,2.3,71.0,50.0,43.0,12.244145962244762,High,Low,High-Low,94.80113897308715,71.0,16.0,1.914285714285711,-3.7142857142857144,25.857142857142854
4,Alessandro Volta Elementary School,ES,-0.0604063104663112,0.2987158293417686,43.0,96.4,22.5,37.0,56.0,62.0,19.685230155260392,Mid,Mid,Mid-Mid,74.07917700009185,37.0,-8.533936651583709,1.8040723981900442,3.2180995475113114,-14.524886877828052
5,Alexander Graham Bell Elementary School,ES,3.482128022241336,-2.237213472457775,99.0,96.3,6.3,46.0,51.0,51.0,27.43008962518672,High,Low,High-Low,94.09387342702306,46.0,47.46606334841629,1.7040723981900356,-12.981900452488688,-5.524886877828052
6,Alexander Graham Elementary School,ES,-1.348209208166203,-0.2919760892680778,49.0,92.5,27.4,33.0,41.0,30.0,27.306533920220193,Low,Mid,Low-Mid,69.77128685588316,33.0,-2.5339366515837085,-2.0959276018099615,8.11809954751131,-18.524886877828052
7,Alexander Hamilton Elementary School,ES,0.97617996323518,0.1235099222207727,73.0,95.3,12.5,59.0,48.0,59.0,8.111279536939866,High,Mid,High-Mid,85.91898594654175,59.0,21.46606334841629,0.7040723981900356,-6.781900452488689,7.475113122171948
8,Alfred David Kohn Elementary School,ES,-3.9117276465482007,-0.6784160976286935,19.0,90.1,31.2,13.0,19.0,21.0,69.2755569508889,Low,Low,Low-Low,63.30485900615413,13.0,-32.53393665158371,-4.495927601809967,11.91809954751131,-38.52488687782805
9,Alfred Nobel Elementary School,ES,-1.4083992010431126,-0.1331334047480546,37.0,94.6,24.8,35.0,36.0,48.0,20.35886471767475,Low,Mid,Low-Mid,71.2501148158354,35.0,-14.533936651583709,0.0040723981900328,5.518099547511312,-16.524886877828052
